Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Subcellular location [CC]	Transmembrane
O00626	reviewed	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)	93	TISSUE SPECIFICITY: Highly expressed in macrophage and in monocyte-derived dendritic cells, and thymus. Also found in lymph node, appendix, activated monocytes, resting and activated macrophages. Lower expression in lung and spleen. Very weak expression in small intestine. In lymph node expressed in a mature subset of Langerhans' cells (CD1a+ and CD83+). Expressed in Langerhans' cell histiocytosis but not in dermatopathic lymphadenopathy. Expressed in atopic dermatitis, allergic contact dermatitis skin, and psoriasis, in both the epidermis and dermis. {ECO:0000269|PubMed:11241286}.		SUBCELLULAR LOCATION: Secreted.	
O14625	reviewed	CXL11_HUMAN	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)	94	TISSUE SPECIFICITY: High levels in peripheral blood leukocytes, pancreas and liver astrocytes. Moderate levels in thymus, spleen and lung. Low levels in placenta, prostate and small intestine. Also found in epidermal basal layer keratinocytes in skin disorders.	1RJT;8HNK;	SUBCELLULAR LOCATION: Secreted.	
O14633	reviewed	LCE2B_HUMAN	Late cornified envelope protein 2B (Late envelope protein 10) (Skin-specific protein Xp5) (Small proline-rich-like epidermal differentiation complex protein 1B)	LCE2B LEP10 SPRL1B XP5	Homo sapiens (Human)	110	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049, ECO:0000269|PubMed:9344646}.			
O15040	reviewed	TCPR2_HUMAN	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	Homo sapiens (Human)	1411	TISSUE SPECIFICITY: Detected in skin fibroblast (at protein level). {ECO:0000269|PubMed:23176824}.			
O15072	reviewed	ATS3_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205	TISSUE SPECIFICITY: Found in cartilage and skin.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28985353}. Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
O43174	reviewed	CP26A_HUMAN	Cytochrome P450 26A1 (CYP26A1) (EC 1.14.13.-) (Cytochrome P450 retinoic acid-inactivating 1) (Cytochrome P450RAI) (hP450RAI) (Retinoic acid 4-hydroxylase) (Retinoic acid-metabolizing cytochrome)	CYP26A1 CYP26 P450RAI1	Homo sapiens (Human)	497	TISSUE SPECIFICITY: Expressed in most fetal and adult tissues with highest levels in adult liver, heart, pituitary gland, adrenal gland, placenta and regions of the brain (PubMed:9826557). Expressed at high levels in lung, pancreas, skin and uterus (at protein level) (PubMed:22020119). Lower expression level is detected in spleen, kidney, intestine and adipose tissue (at protein level) (PubMed:22020119). {ECO:0000269|PubMed:22020119, ECO:0000269|PubMed:9826557}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:9716180}; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:9716180}; Peripheral membrane protein.	
O43593	reviewed	HAIR_HUMAN	Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless)	HR	Homo sapiens (Human)	1189	TISSUE SPECIFICITY: Strongest expression of isoforms 1 and 2 is seen in the small intestine, weaker expression in brain and colon, and trace expression is found in liver, pancreas, spleen, thymus, stomach, salivary gland, appendix and trachea. Isoform 1 is always the most abundant. Isoform 1 is exclusively expressed at low levels in kidney and testis. Isoform 2 is exclusively expressed at high levels in the skin. {ECO:0000269|PubMed:10051399, ECO:0000269|PubMed:9736769}.		SUBCELLULAR LOCATION: Nucleus.	
O43623	reviewed	SNAI2_HUMAN	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	SNAI2 SLUG SLUGH	Homo sapiens (Human)	268	TISSUE SPECIFICITY: Expressed in most adult human tissues, including spleen, thymus, prostate, testis, ovary, small intestine, colon, heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas. Not detected in peripheral blood leukocyte. Expressed in the dermis and in all layers of the epidermis, with high levels of expression in the basal layers (at protein level). Expressed in osteoblasts (at protein level). Expressed in mesenchymal stem cells (at protein level). Expressed in breast tumor cells (at protein level). {ECO:0000269|PubMed:10866665, ECO:0000269|PubMed:16707493, ECO:0000269|PubMed:19756381, ECO:0000269|PubMed:21182836}.		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25893292, ECO:0000269|PubMed:29910125}. Cytoplasm. Note=Observed in discrete foci in interphase nuclei. These nuclear foci do not overlap with the nucleoli, the SP100 and the HP1 heterochromatin or the coiled body, suggesting SNAI2 is associated with active transcription or active splicing regions.	
O43820	reviewed	HYAL3_HUMAN	Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3)	HYAL3 LUCA3	Homo sapiens (Human)	417	TISSUE SPECIFICITY: Expressed in sperm (PubMed:20586096). Highly expressed in epidermis of the skin, where it is expressed intracellularily in the deep horny layer (at protein level) (PubMed:21699545). Bone marrow, testis and kidney (PubMed:10493834). {ECO:0000269|PubMed:10493834, ECO:0000269|PubMed:20586096, ECO:0000269|PubMed:21699545}.		SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q8VEI3}. Cell membrane {ECO:0000250|UniProtKB:Q8VEI3}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q8VEI3}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q8VEI3}. Early endosome {ECO:0000250|UniProtKB:Q8VEI3}. Note=Mostly present in low-density vesicles. Low levels in higher density vesicles of late endosomes and lysosomes. Localized in punctate cytoplasmic vesicles and in perinuclear structures, but does not colocalize with LAMP1. Localized on the plasma membrane over the acrosome and on the surface of the midpiece of the sperm tail. {ECO:0000250|UniProtKB:Q8VEI3}.	
O60259	reviewed	KLK8_HUMAN	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322	Homo sapiens (Human)	260	TISSUE SPECIFICITY: Isoform 1 is predominantly expressed in the pancreas. Isoform 2 is expressed in adult brain and hippocampus. Isoform 1 and isoform 2 are found in fetal brain and placenta. Detected in salivary gland, uterus, thymus, breast, testis and kidney but not in spleen, liver, lung or normal ovarian tissue. Displays an 11.5-fold increase in Alzheimer disease hippocampus compared to controls and is overexpressed in some ovarian carcinomas. Expressed at low levels in normal skin while high levels are found in psoriasis vulgaris, seborrheic keratosis, lichen planus and squamous cell carcinoma skin samples. Expressed in the keratinocytes. {ECO:0000269|PubMed:11309326, ECO:0000269|PubMed:11522960, ECO:0000269|PubMed:12147714, ECO:0000269|PubMed:17761692}.	5MS3;5MS4;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17761692}. Cytoplasm {ECO:0000269|PubMed:17761692}. Note=Shows a cytoplasmic distribution in the keratinocytes.	
O60911	reviewed	CATL2_HUMAN	Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V)	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	Homo sapiens (Human)	334	TISSUE SPECIFICITY: Predominantly expressed in the thymus and testis. Also expressed in corneal epithelium, and to a lesser extent in conjunctival epithelium and skin. {ECO:0000269|PubMed:10029531, ECO:0000269|PubMed:9563472, ECO:0000269|PubMed:9727401}.	1FH0;3H6S;3KFQ;7PK4;7Q8D;7Q8F;7Q8G;7Q8H;7Q8I;7Q8J;7Q8K;7Q8L;7Q8M;7Q8N;7Q8O;7Q8P;7Q8Q;7Q9H;7QFF;7QFH;7QGW;7QHJ;7QHK;7QNS;7QO2;	SUBCELLULAR LOCATION: Lysosome {ECO:0000305}.	
O60942	reviewed	MCE1_HUMAN	mRNA-capping enzyme (HCAP1) (HCE) [Includes: mRNA 5'-triphosphate monophosphatase (EC 3.6.1.74) (mRNA 5'-phosphatase); mRNA guanylyltransferase (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (GTase)]	RNGTT CAP1A	Homo sapiens (Human)	597	TISSUE SPECIFICITY: Isoform 1 and isoform 4 (at a lesser extent) are expressed in cerebrum, cerebellum, thyroid, lung, heart, liver, kidney, spleen, large intestine, testis, skin and muscle.	2C46;3S24;8P4A;8P4B;8P4C;8P4D;8P4E;8W8E;8W8F;	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	
O75326	reviewed	SEM7A_HUMAN	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A CD108 SEMAL	Homo sapiens (Human)	666	TISSUE SPECIFICITY: Detected in skin keratinocytes and on endothelial cells from skin blood vessels (at protein level). Expressed in fibroblasts, keratinocytes, melanocytes, placenta, testis, ovary, spleen, brain, spinal cord, lung, heart, adrenal gland, lymph nodes, thymus, intestine and kidney. {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}.	3NVQ;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}; Extracellular side {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}. Note=Detected in a punctate pattern on the cell membrane of basal and supra-basal skin keratinocytes.	
O75342	reviewed	LX12B_HUMAN	Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)	ALOX12B	Homo sapiens (Human)	701	TISSUE SPECIFICITY: Expressed in B-cells, hair follicles, foreskin keratinocytes and adult skin. Also expressed in psoriatic tissue. {ECO:0000269|PubMed:9618483}.		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00726}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:9837935}.	
O75452	reviewed	RDH16_HUMAN	Retinol dehydrogenase 16 (EC 1.1.1.105) (EC 1.1.1.209) (EC 1.1.1.315) (EC 1.1.1.53) (Human epidermal retinol dehydrogenase) (hRDH-E) (Microsomal NAD(+)-dependent retinol dehydrogenase 4) (RoDH-4) (Short chain dehydrogenase/reductase family 9C member 8) (Sterol/retinol dehydrogenase)	RDH16 RODH4 SDR9C8	Homo sapiens (Human)	317	TISSUE SPECIFICITY: Highly expressed in adult liver (at protein level) (PubMed:9677409). Detected in endometrium, liver and foreskin (PubMed:10329026, PubMed:11967490). Detected in the spineous layers of adult skin, and at lower levels in basal and granular skin layers (PubMed:10329026). Detected in fetal liver and lung. {ECO:0000269|PubMed:10329026, ECO:0000269|PubMed:11967490, ECO:0000269|PubMed:9677409}.		SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:9677409}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O54909}; Single-pass membrane protein {ECO:0000305}.	TRANSMEM 289..309; /note="Helical"; /evidence="ECO:0000255"
O75795	reviewed	UDB17_HUMAN	UDP-glucuronosyltransferase 2B17 (UDPGT 2B17) (UGT2B17) (EC 2.4.1.17) (C19-steroid-specific UDP-glucuronosyltransferase) (C19-steroid-specific UDPGT)	UGT2B17	Homo sapiens (Human)	530	TISSUE SPECIFICITY: Expressed in various tissues including the liver, kidney, testis, uterus, placenta, mammary gland, adrenal gland, skin and prostate. {ECO:0000269|PubMed:8798464}.	7YAN;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:23288867}; Single-pass membrane protein {ECO:0000255}.	TRANSMEM 495..515; /note="Helical"; /evidence="ECO:0000255"
O76027	reviewed	ANXA9_HUMAN	Annexin A9 (Annexin XXXI) (Annexin-31) (Annexin-9) (Pemphaxin)	ANXA9 ANX31	Homo sapiens (Human)	345	TISSUE SPECIFICITY: Expressed in the stratified squamous skin epithelium, but not in epithelia of other types (at protein level). {ECO:0000269|PubMed:10899159}.			
O94885	reviewed	SASH1_HUMAN	SAM and SH3 domain-containing protein 1 (Proline-glutamate repeat-containing protein)	SASH1 KIAA0790 PEPE1	Homo sapiens (Human)	1247	TISSUE SPECIFICITY: Expressed ubiquitously, with highest levels in lung, placenta, spleen and thymus. Down-regulated in the majority (74%) of breast tumors in comparison with corresponding normal breast epithelial tissues. Expressed in the epidermis, epidermal keratinocytes, dermal fibroblasts and melanocytes (PubMed:23333244, PubMed:26203640). {ECO:0000269|PubMed:12771949, ECO:0000269|PubMed:23333244, ECO:0000269|PubMed:26203640}.	2DL0;2EBP;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23333244}.	
O95274	reviewed	LYPD3_HUMAN	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	LYPD3 C4.4A UNQ491/PRO1007	Homo sapiens (Human)	346	TISSUE SPECIFICITY: Expressed in placenta, skin and urothelium. Found in suprabasal keratinocytes of chronic wounds. Weak expression is found in esophagus and peripheral blood mononuclear cells. Found in the majority of primary and metastatic transitional cell carcinomas (TCCs) and as well in breast cancer tissues, but not in adjacent normal tissues. High expression is found in the tumor component of some noninvasive superficial lesions and in invasive and metastatic urothelial cancers. {ECO:0000269|PubMed:11179665, ECO:0000269|PubMed:12592373, ECO:0000269|PubMed:15012588}.	6IOM;6ION;	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.	
O95450	reviewed	ATS2_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	ADAMTS2 PCINP PCPNI	Homo sapiens (Human)	1211	TISSUE SPECIFICITY: Expressed at high level in skin, bone, tendon and aorta and at low levels in thymus and brain.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
O95497	reviewed	VNN1_HUMAN	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)	VNN1	Homo sapiens (Human)	513	TISSUE SPECIFICITY: Widely expressed with higher expression in spleen, kidney and blood. Overexpressed in lesional psoriatic skin. {ECO:0000269|PubMed:19322213}.	4CYF;4CYG;4CYY;7SLV;7SLX;7SLY;9IZL;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:11491533}; Lipid-anchor, GPI-anchor {ECO:0000305}.	
