Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
P02760	reviewed	AMBP_HUMAN	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	AMBP HCP ITIL	Homo sapiens (Human)	352	TISSUE SPECIFICITY: [Alpha-1-microglobulin]: Expressed by the liver and secreted in plasma. Occurs in many physiological fluids including plasma, urine, and cerebrospinal fluid (PubMed:11877257). Expressed in epidermal keratinocytes, in dermis and epidermal-dermal junction (at protein level) (PubMed:22096585). Expressed in red blood cells (at protein level) (PubMed:32092412). Expressed in placenta (PubMed:21356557). {ECO:0000269|PubMed:11877257, ECO:0000269|PubMed:21356557, ECO:0000269|PubMed:22096585, ECO:0000269|PubMed:32092412}.; TISSUE SPECIFICITY: [Inter-alpha-trypsin inhibitor light chain]: Detected in placenta (at protein level) (PubMed:32337544). Detected in cerebrospinal fluid, plasma and urine (at protein level) (PubMed:25326458, PubMed:36213313, PubMed:37453717). Expressed in airway epithelium and submucosal gland (at protein level). Colocalizes with TNFAIP6 at the ciliary border. Present in bronchoalveolar lavage fluid (at protein level). {ECO:0000269|PubMed:16873769, ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:32337544, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}.	SUBCELLULAR LOCATION: [Alpha-1-microglobulin]: Secreted {ECO:0000269|PubMed:11877257, ECO:0000269|PubMed:32092412, ECO:0000269|PubMed:37453717}. Endoplasmic reticulum {ECO:0000269|PubMed:22096585}. Cytoplasm, cytosol {ECO:0000269|PubMed:32092412}. Cell membrane {ECO:0000269|PubMed:22096585, ECO:0000269|PubMed:32092412}; Peripheral membrane protein {ECO:0000305|PubMed:22096585, ECO:0000305|PubMed:32092412}. Nucleus membrane {ECO:0000269|PubMed:22096585}; Peripheral membrane protein {ECO:0000305|PubMed:22096585}. Mitochondrion inner membrane {ECO:0000305|PubMed:23157686}; Peripheral membrane protein {ECO:0000305|PubMed:23157686}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:22096585}. Note=The cellular uptake occurs via a non-endocytotic pathway and allows for localization to various membrane structures. A specific binding to plasma membrane suggests the presence of a cell receptor, yet to be identified. Directly binds collagen fibers type I. {ECO:0000269|PubMed:22096585}.; SUBCELLULAR LOCATION: [Inter-alpha-trypsin inhibitor light chain]: Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313}.	
P05109	reviewed	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	Homo sapiens (Human)	93	TISSUE SPECIFICITY: Calprotectin (S100A8/9) is predominantly expressed in myeloid cells. Except for inflammatory conditions, the expression is restricted to a specific stage of myeloid differentiation since both proteins are expressed in circulating neutrophils and monocytes but are absent in normal tissue macrophages and lymphocytes. Under chronic inflammatory conditions, such as psoriasis and malignant disorders, also expressed in the epidermis. Found in high concentrations at local sites of inflammation or in the serum of patients with inflammatory diseases such as rheumatoid, cystic fibrosis, inflammatory bowel disease, Crohn's disease, giant cell arteritis, cystic fibrosis, Sjogren's syndrome, systemic lupus erythematosus, and progressive systemic sclerosis. Involved in the formation and deposition of amyloids in the aging prostate known as corpora amylacea inclusions. Strongly up-regulated in many tumors, including gastric, esophageal, colon, pancreatic, bladder, ovarian, thyroid, breast and skin cancers. {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:33388094, ECO:0000269|PubMed:9083090}.	SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway.	
P05154	reviewed	IPSP_HUMAN	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)	406	TISSUE SPECIFICITY: Predominantly expressed in the epithelium of seminal vesicles. Expressed in the proximal tubular epithelium of the kidney. Expressed in the superficial and more differentiated epidermal keratinocytes of the skin. Expressed in megakaryocytes and platelets. Expressed poorly in kidney tumor cells compared to non tumor kidney tissues. Expressed in spermatozoa. Present in very high concentration in seminal plasma. Present in high concentration in plasma, synovial and Graaf follicle fluids. Present in low concentration in breast milk and in amniotic fluids. Present in very low concentration in urine, cerebrospinal fluids, saliva and tears (at protein level). Strongly expressed in liver. Expressed in kidney, spleen, pancreas, skeletal muscle, heart, testes, ovary, interstitial Leydig cells, epididymal glands, seminal vesicles and prostate. {ECO:0000269|PubMed:1372913, ECO:0000269|PubMed:14696115, ECO:0000269|PubMed:15140131, ECO:0000269|PubMed:17706750, ECO:0000269|PubMed:18467335, ECO:0000269|PubMed:9510955, ECO:0000269|PubMed:9556620}.	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:1725227, ECO:0000269|PubMed:18467335, ECO:0000269|PubMed:7521127, ECO:0000269|PubMed:8536714, ECO:0000269|PubMed:9510955, ECO:0000269|PubMed:9556620}. Note=Localized on the plasma membrane overlying the acrosomal head of spermatozoa of ependymal spermatozoa and ejaculated sperm. Localized at the equatorial segment of acrosome-reacted spermatozoa. Localized in alpha granules in resting platelets and on the external plasma membrane and within the surface-connected cannalicular system in activated platelets.	
P06702	reviewed	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14	Homo sapiens (Human)	114	TISSUE SPECIFICITY: Calprotectin (S100A8/9) is predominantly expressed in myeloid cells. Except for inflammatory conditions, the expression is restricted to a specific stage of myeloid differentiation since both proteins are expressed in circulating neutrophils and monocytes but are absent in normal tissue macrophages and lymphocytes. Under chronic inflammatory conditions, such as psoriasis and malignant disorders, also expressed in the epidermis. Found in high concentrations at local sites of inflammation or in the serum of patients with inflammatory diseases such as rheumatoid, cystic fibrosis, inflammatory bowel disease, Crohn's disease, giant cell arteritis, cystic fibrosis, Sjogren's syndrome, systemic lupus erythematosus, and progressive systemic sclerosis. Involved in the formation and deposition of amyloids in the aging prostate known as corpora amylacea inclusions. Strongly up-regulated in many tumors, including gastric, esophageal, colon, pancreatic, bladder, ovarian, thyroid, breast and skin cancers. {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:3313057, ECO:0000269|PubMed:3405210, ECO:0000269|PubMed:8423249, ECO:0000269|PubMed:9083090}.	SUBCELLULAR LOCATION: Secreted. Cytoplasm {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:8423249}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22489132, ECO:0000269|PubMed:9083090}. Cell membrane {ECO:0000269|PubMed:18786929}; Peripheral membrane protein {ECO:0000305|PubMed:18786929}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane (PubMed:18786929). Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (PubMed:15598812). {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:18786929}.	
P07858	reviewed	CATB_HUMAN	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339	TISSUE SPECIFICITY: Expressed in the stratum spinosum of the epidermis. Weak expression is detected in the stratum granulosum. {ECO:0000269|PubMed:28457472}.	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:16733801}. Melanosome {ECO:0000269|PubMed:17081065}. Secreted, extracellular space {ECO:0000250|UniProtKB:A1E295}. Apical cell membrane {ECO:0000250|UniProtKB:P10605}; Peripheral membrane protein {ECO:0000250|UniProtKB:P10605}; Extracellular side {ECO:0000250|UniProtKB:P10605}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Localizes to the lumen of thyroid follicles and to the apical membrane of thyroid epithelial cells (By similarity). {ECO:0000250|UniProtKB:P10605, ECO:0000269|PubMed:17081065}.	
P08253	reviewed	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660	TISSUE SPECIFICITY: Produced by normal skin fibroblasts. PEX is expressed in a number of tumors including gliomas, breast and prostate. {ECO:0000269|PubMed:11751392}.	SUBCELLULAR LOCATION: [Isoform 1]: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2834383}. Membrane. Nucleus. Note=Colocalizes with integrin alphaV/beta3 at the membrane surface in angiogenic blood vessels and melanomas. Found in mitochondria, along microfibrils, and in nuclei of cardiomyocytes.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Mitochondrion.	
P08581	reviewed	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390	TISSUE SPECIFICITY: Expressed in normal hepatocytes as well as in epithelial cells lining the stomach, the small and the large intestine. Found also in basal keratinocytes of esophagus and skin. High levels are found in liver, gastrointestinal tract, thyroid and kidney. Also present in the brain. Expressed in metaphyseal bone (at protein level) (PubMed:26637977). {ECO:0000269|PubMed:1719465, ECO:0000269|PubMed:1917129, ECO:0000269|PubMed:26637977}.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	"TRANSMEM 933..955; /note=""Helical""; /evidence=""ECO:0000255"""
P0DP57	reviewed	SLUR2_HUMAN	Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)	SLURP2	Homo sapiens (Human)	97	TISSUE SPECIFICITY: Expressed at highest levels in cervix and esophagus, followed by adult and fetal skin. Expressed at lower levels in brain, lung, stomach, small intestine, colon, rectum, uterus, and thymus. Not detected in spleen nor bone marrow. Up-regulated 3-fold in psoriatic lesional skin (PubMed:12573258). In the epidermis, predominantly produced by keratinocytes of the suprabasal epidermal compartment (at protein level) (PubMed:16575903). In attached gingiva, produced at highest levels by basal cells located in the lowermost epithelial layers (at protein level) (PubMed:16575903). Detected in serum (at protein level) (PubMed:16575903). {ECO:0000269|PubMed:12573258, ECO:0000269|PubMed:16575903}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16575903}.	
P15309	reviewed	PPAP_HUMAN	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACP3 ACPP	Homo sapiens (Human)	386	TISSUE SPECIFICITY: Highly expressed in the prostate, restricted to glandular and ductal epithelial cells. Also expressed in bladder, kidney, pancreas, lung, cervix, testis and ovary. Weak expression in a subset of pancreatic islet cells, squamous epithelia, the pilosebaceous unit, colonic neuroendocrine cells and skin adnexal structures. Low expression in prostate carcinoma cells and tissues. {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:21487525}.; TISSUE SPECIFICITY: [Isoform 2]: Widely expressed. Expressed in the sarcolemma of skeletal muscle. {ECO:0000269|PubMed:17638863}.	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000305|PubMed:17638863}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:20498373}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Nucleus {ECO:0000269|PubMed:20498373}. Cytoplasm, cytosol {ECO:0000269|PubMed:20498373}. Note=Appears to shuttle between the cell membrane and intracellular vesicles. Colocalizes with FLOT1 at cell membrane and in intracellular vesicles (PubMed:17638863). Colocalizes with LAMP2 on the lysosome membrane (PubMed:17897319). {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}.	
P15502	reviewed	ELN_HUMAN	Elastin (Tropoelastin)	ELN	Homo sapiens (Human)	786	TISSUE SPECIFICITY: Expressed within the outer myometrial smooth muscle and throughout the arteriolar tree of uterus (at protein level). Also expressed in the large arteries, lung and skin. {ECO:0000269|PubMed:8812460}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17035250}. Note=Extracellular matrix of elastic fibers. {ECO:0000269|PubMed:17035250}.	
P17693	reviewed	HLAG_HUMAN	HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338	TISSUE SPECIFICITY: Expressed in adult eye (PubMed:1570318). Expressed in immune cell subsets including monocytes, myeloid and plasmacytoid dendritic cells and regulatory T cells (Tr1)(at protein level) (PubMed:20448110). Secreted by follicular dendritic cell and follicular helper T cells (PubMed:24453251).; TISSUE SPECIFICITY: [Isoform 5]: Detected in physiological fluids including amniotic fluid and serum. {ECO:0000269|PubMed:11137219}.; TISSUE SPECIFICITY: [Isoform 7]: Expressed in placenta, amniotic membrane, skin, cord blood and peripheral blood mononuclear cells. {ECO:0000269|PubMed:11137219}.	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:7584149}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11520457}. Early endosome membrane {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Soluble HLA class I histocompatibility antigen, alpha chain G]: Secreted {ECO:0000269|PubMed:23737137}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:11137219, ECO:0000269|PubMed:7558941, ECO:0000269|PubMed:7584149, ECO:0000269|PubMed:7989753}. Early endosome {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000269|PubMed:7989753}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000269|PubMed:11137219}.; SUBCELLULAR LOCATION: Cell projection, filopodium membrane {ECO:0000269|PubMed:26460007}. Note=HLA-G trogocytosis from extravillous trophoblast's filopodia occurs in the majority of decidual NK cells. {ECO:0000269|PubMed:26460007}.	"TRANSMEM 309..332; /note=""Helical""; /evidence=""ECO:0000255"""
P23946	reviewed	CMA1_HUMAN	Chymase (EC 3.4.21.39) (Alpha-chymase) (Mast cell protease I)	CMA1 CYH CYM	Homo sapiens (Human)	247	TISSUE SPECIFICITY: Mast cells in lung, heart, skin and placenta. Expressed in both normal skin and in urticaria pigmentosa lesions. {ECO:0000269|PubMed:8144971}.	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule. Note=Mast cell granules.	
P24043	reviewed	LAMA2_HUMAN	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	LAMA2 LAMM	Homo sapiens (Human)	3122	TISSUE SPECIFICITY: Placenta, striated muscle, peripheral nerve, cardiac muscle, pancreas, lung, spleen, kidney, adrenal gland, skin, testis, meninges, choroid plexus, and some other regions of the brain; not in liver, thymus and bone.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.	
