Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Transmembrane	Subcellular location [CC]
O76082	reviewed	S22A5_HUMAN	Organic cation/carnitine transporter 2 (High-affinity sodium-dependent carnitine cotransporter) (Solute carrier family 22 member 5)	SLC22A5 OCTN2	Homo sapiens (Human)	557	TISSUE SPECIFICITY: Strongly expressed in kidney, skeletal muscle, heart and placenta (PubMed:10454528). Primarily expressed by surface epithelial cells of the colon (at protein level) (PubMed:18005709). Expressed in CD68 macrophage and CD43 T-cells but not in CD20 B-cells (PubMed:10454528). In testis, localized to Sertoli cell basal membranes, peritubular myoid cells and Leydig cells (PubMed:35307651). {ECO:0000269|PubMed:10454528, ECO:0000269|PubMed:18005709, ECO:0000269|PubMed:35307651}.		TRANSMEM 21..41; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 143..163; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 173..193; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 198..218; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 233..253; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 258..278; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 342..362; /note="Helical; Name=7"; /evidence="ECO:0000255"; TRANSMEM 374..394; /note="Helical; Name=8"; /evidence="ECO:0000255"; TRANSMEM 407..427; /note="Helical; Name=9"; /evidence="ECO:0000255"; TRANSMEM 431..451; /note="Helical; Name=10"; /evidence="ECO:0000255"; TRANSMEM 463..483; /note="Helical; Name=11"; /evidence="ECO:0000255"; TRANSMEM 489..509; /note="Helical; Name=12"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10679939, ECO:0000269|PubMed:17509700, ECO:0000269|PubMed:33334877}; Multi-pass membrane protein {ECO:0000269|PubMed:10679939}. Apical cell membrane {ECO:0000269|PubMed:10966938, ECO:0000269|PubMed:20722056}; Multi-pass membrane protein {ECO:0000255}. Basal cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000255}. Note=In intestinal cells, apical expression is induced by TNF. Localized to the basal membrane of Sertoli cells (PubMed:35307651). {ECO:0000269|PubMed:20722056, ECO:0000269|PubMed:35307651}.; SUBCELLULAR LOCATION: [Isoform 3]: Endoplasmic reticulum {ECO:0000269|PubMed:17509700}.
O95171	reviewed	SCEL_HUMAN	Sciellin	SCEL	Homo sapiens (Human)	688	TISSUE SPECIFICITY: Highly expressed in esophagus. It is also expressed in keratinocytes, amniotic tissue, foreskin stratum spinosum and stratum granulosum, hair follicle and nail.			SUBCELLULAR LOCATION: Cytoplasm. Membrane. Note=May become cross-linked to membrane proteins by transglutaminase.
O95671	reviewed	ASML_HUMAN	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Includes: dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase); N-acetylserotonin O-methyltransferase-like protein (ASMTL) (EC 2.1.1.-)]	ASMTL	Homo sapiens (Human)	621	TISSUE SPECIFICITY: Widely expressed. In adult, highly expressed in pancreas, placenta, fibroblast, thymus, prostate, testis, ovary and colon. Expressed at lower levels in spleen, small intestine and leukocytes. In fetus, expressed at high levels in the lung and kidney and at lower level in brain and liver.	2P5X;6XI4;6XI5;		
O95749	reviewed	GGPPS_HUMAN	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)	GGPS1	Homo sapiens (Human)	300	TISSUE SPECIFICITY: Abundantly expressed in testis (PubMed:10026212, PubMed:9741684). Found in other tissues to a lower extent (PubMed:10026212, PubMed:9741684). Expressed in dermal fibroblast and skeletal muscle (PubMed:32403198). {ECO:0000269|PubMed:10026212, ECO:0000269|PubMed:32403198, ECO:0000269|PubMed:9741684}.	2Q80;6C56;6C57;6G31;6G32;6R4V;		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32403198}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:32403198}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:32403198}.
O95866	reviewed	G6B_HUMAN	Megakaryocyte and platelet inhibitory receptor G6b (Protein G6b)	MPIG6B C6orf25 G6B G6B-B	Homo sapiens (Human)	241	TISSUE SPECIFICITY: Expressed in platelets. Expressed in a restricted set of hematopoietic cell lines including the erythroleukemia cell line K-562 and the T-cell leukemia cell lines MOLT-4 and Jurkat. Not detected in the monocyte-like cell line U-937, the B-cell-like cell line Raji, the fibroblast cell lines TK and HeLa, or the natural killer cell lines NKL, NK 62 and YT. {ECO:0000269|PubMed:11544253, ECO:0000269|PubMed:17311996}.	6R0X;	TRANSMEM 143..163; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: [Isoform E]: Endoplasmic reticulum {ECO:0000269|PubMed:11544253}. Golgi apparatus {ECO:0000269|PubMed:11544253}.; SUBCELLULAR LOCATION: [Isoform D]: Endoplasmic reticulum {ECO:0000269|PubMed:11544253}. Golgi apparatus {ECO:0000269|PubMed:11544253}.; SUBCELLULAR LOCATION: [Isoform B]: Cell membrane {ECO:0000269|PubMed:11544253}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform A]: Cell membrane {ECO:0000269|PubMed:11544253}; Single-pass type I membrane protein {ECO:0000305}.
P04259	reviewed	K2C6B_HUMAN	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	KRT6B K6B KRTL1	Homo sapiens (Human)	564	TISSUE SPECIFICITY: Constitutively expressed in distinct types of epithelia such as those in oral mucosa, esophagus, papillae of tongue and hair follicle outer root sheath.			
P05556	reviewed	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	798	TISSUE SPECIFICITY: Expressed in vascular smooth muscle cells (at protein level). {ECO:0000269|PubMed:35802072}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in placenta (at protein level) (PubMed:33962943). Widely expressed, other isoforms are generally coexpressed with a more restricted distribution (PubMed:1551917, PubMed:7545396, PubMed:7681433). {ECO:0000269|PubMed:1551917, ECO:0000269|PubMed:33962943, ECO:0000269|PubMed:7545396, ECO:0000269|PubMed:7681433}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in skin, liver, skeletal muscle, cardiac muscle, placenta, umbilical vein endothelial cells, neuroblastoma cells, lymphoma cells, hepatoma cells and astrocytoma cells. {ECO:0000269|PubMed:2249781}.; TISSUE SPECIFICITY: [Isoform 3]: Together with isoform 4, is expressed in muscle, kidney, liver, placenta, cervical epithelium, umbilical vein endothelial cells, fibroblast cells, embryonal kidney cells, platelets and several blood cell lines. Expressed in non-proliferating and differentiated prostate gland epithelial cells and in platelets, on the surface of erythroleukemia cells and in various hematopoietic cell lines. {ECO:0000269|PubMed:1551917, ECO:0000269|PubMed:9494094}.; TISSUE SPECIFICITY: [Isoform 4]: Together with isoform 3, is expressed in muscle, kidney, liver, placenta, cervical epithelium, umbilical vein endothelial cells, fibroblast cells, embryonal kidney cells, platelets and several blood cell lines. Rather than isoform 3, is selectively expressed in peripheral T-cells. {ECO:0000269|PubMed:9494094}.; TISSUE SPECIFICITY: [Isoform 5]: Expressed specifically in striated muscle (skeletal and cardiac muscle). {ECO:0000269|PubMed:7544298, ECO:0000269|PubMed:7545396}.	3G9W;3T9K;3VI3;3VI4;4DX9;4WJK;4WK0;4WK2;4WK4;7CEB;7CEC;7NWL;7NXD;8RPQ;9CKV;	TRANSMEM 729..751; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:32487760, ECO:0000269|PubMed:35687021, ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:10455171, ECO:0000269|PubMed:11919189}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome {ECO:0000269|PubMed:16256741}. Melanosome {ECO:0000269|PubMed:17081065}. Cleavage furrow {ECO:0000269|PubMed:17956333}. Cell projection, lamellipodium {ECO:0000269|PubMed:11919189}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:35687021}. Note=Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. {ECO:0000269|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 2]: Note=Does not localize to focal adhesions. {ECO:0000269|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P09055}. Cell junction {ECO:0000250|UniProtKB:P09055}. Note=In cardiac muscle, found in costameres and intercalated disks. {ECO:0000250|UniProtKB:P09055}.
P08582	reviewed	TRFM_HUMAN	Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228)	MELTF MAP97 MFI2	Homo sapiens (Human)	738	TISSUE SPECIFICITY: Found predominantly in human melanomas and in certain fetal tissues; also found in liver, epithelium, umbilical chord, placenta and sweat gland ducts.	6XR0;		SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Lipid-anchor, GPI-anchor.
P08727	reviewed	K1C19_HUMAN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Homo sapiens (Human)	400	TISSUE SPECIFICITY: Expressed in a defined zone of basal keratinocytes in the deep outer root sheath of hair follicles. Also observed in sweat gland and mammary gland ductal and secretory cells, bile ducts, gastrointestinal tract, bladder urothelium, oral epithelia, esophagus, ectocervical epithelium (at protein level). Expressed in epidermal basal cells, in nipple epidermis and a defined region of the hair follicle. Also seen in a subset of vascular wall cells in both the veins and artery of human umbilical cord, and in umbilical cord vascular smooth muscle. Observed in muscle fibers accumulating in the costameres of myoplasm at the sarcolemma in structures that contain dystrophin and spectrin. {ECO:0000269|PubMed:16000376, ECO:0000269|PubMed:2468493, ECO:0000269|PubMed:2469734}.	8ZUG;		
P0DME0	reviewed	SETLP_HUMAN	Protein SETSIP (SET pseudogene protein 18) (SET similar protein) (Similar to SET translocation protein)	SETSIP SETP18	Homo sapiens (Human)	292	TISSUE SPECIFICITY: Expressed in endothelial cell (EC) and protein-induced pluripotent stem (PiPS) endothelial cell (EC) (at protein level). {ECO:0000269|PubMed:22869753}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22869753}. Nucleus {ECO:0000269|PubMed:22869753}. Note=Translocated from the cytoplasm to the nucleus in protein-induced pluripotent stem (PiPS) endothelial cells.
P11362	reviewed	FGFR1_HUMAN	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Homo sapiens (Human)	822	TISSUE SPECIFICITY: Detected in astrocytoma, neuroblastoma and adrenal cortex cell lines. Some isoforms are detected in foreskin fibroblast cell lines, however isoform 17, isoform 18 and isoform 19 are not detected in these cells. {ECO:0000269|PubMed:1652059}.	1AGW;1CVS;1EVT;1FGI;1FGK;1FQ9;1XR0;2CR3;2FGI;3C4F;3DPK;3GQI;3GQL;3JS2;3KRJ;3KRL;3KXX;3KY2;3OJV;3RHX;3TT0;4F63;4F64;4F65;4NK9;4NKA;4NKS;4RWI;4RWJ;4RWK;4RWL;4UWB;4UWC;4UWY;4V01;4V04;4V05;4WUN;4ZSA;5A46;5A4C;5AM6;5AM7;5B7V;5EW8;5FLF;5O49;5O4A;5UQ0;5UR1;5VND;5W21;5W59;5Z0S;5ZV2;6C18;6C19;6C1B;6C1C;6C1O;6ITJ;6MZQ;6MZW;6NVL;6P68;6P69;7OZB;7OZD;7OZF;7WCL;7YSH;8JMZ;8JQI;8XLO;8XZ7;8Y22;8YKI;9CD5;	TRANSMEM 377..397; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Nucleus. Cytoplasm, cytosol. Cytoplasmic vesicle. Note=After ligand binding, both receptor and ligand are rapidly internalized. Can translocate to the nucleus after internalization, or by translocation from the endoplasmic reticulum or Golgi apparatus to the cytosol, and from there to the nucleus.
P12314	reviewed	FCGR1_HUMAN	High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64)	FCGR1A FCG1 FCGR1 IGFR1	Homo sapiens (Human)	374	TISSUE SPECIFICITY: Monocyte/macrophage specific.	3RJD;4W4O;4X4M;4ZNE;8DIN;8DIR;8DJ7;	TRANSMEM 293..313; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12756162, ECO:0000269|PubMed:8611682}; Single-pass type I membrane protein {ECO:0000269|PubMed:12756162, ECO:0000269|PubMed:8611682}. Note=Stabilized at the cell membrane through interaction with FCER1G.
P13501	reviewed	CCL5_HUMAN	C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)]	CCL5 D17S136E SCYA5	Homo sapiens (Human)	91	TISSUE SPECIFICITY: Expressed in the follicular fluid (at protein level). T-cell and macrophage specific. {ECO:0000269|PubMed:23765988, ECO:0000269|PubMed:2456327}.	1B3A;1EQT;1HRJ;1RTN;1RTO;1U4L;1U4M;1U4P;1U4R;2L9H;2VXW;5CMD;5COY;5DNF;5L2U;5UIW;6AEZ;6C6D;6FGP;6LOG;6STK;7F1R;7O7F;		SUBCELLULAR LOCATION: Secreted.
P13646	reviewed	K1C13_HUMAN	Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	KRT13	Homo sapiens (Human)	458	TISSUE SPECIFICITY: Expressed in some epidermal sweat gland ducts (at protein level) and in exocervix, esophagus and placenta. {ECO:0000269|PubMed:2483837}.			
P13796	reviewed	PLSL_HUMAN	Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1) (LCP-1)	LCP1 PLS2	Homo sapiens (Human)	627	TISSUE SPECIFICITY: Detected in intestinal microvilli, hair cell stereocilia, and fibroblast filopodia, in spleen and other lymph node-containing organs. Expressed in peripheral blood T-lymphocytes, neutrophils, monocytes, B-lymphocytes, and myeloid cells. {ECO:0000269|PubMed:3261603}.	2D85;5JOJ;5JOL;6VEC;		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:16636079}. Cell junction {ECO:0000269|PubMed:17294403}. Cell projection {ECO:0000269|PubMed:16636079}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q61233, ECO:0000269|PubMed:16636079}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q61233}; Cytoplasmic side {ECO:0000250|UniProtKB:Q61233}. Note=Relocalizes to the immunological synapse between peripheral blood T-lymphocytes and antibody-presenting cells in response to costimulation through TCR/CD3 and CD2 or CD28 (PubMed:17294403). Associated with the actin cytoskeleton at membrane ruffles. Relocalizes to actin-rich cell projections upon serine phosphorylation (PubMed:16636079). {ECO:0000250|UniProtKB:Q61233, ECO:0000269|PubMed:16636079, ECO:0000269|PubMed:17294403}.
P17693	reviewed	HLAG_HUMAN	HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338	TISSUE SPECIFICITY: Expressed in adult eye (PubMed:1570318). Expressed in immune cell subsets including monocytes, myeloid and plasmacytoid dendritic cells and regulatory T cells (Tr1)(at protein level) (PubMed:20448110). Secreted by follicular dendritic cell and follicular helper T cells (PubMed:24453251).; TISSUE SPECIFICITY: [Isoform 5]: Detected in physiological fluids including amniotic fluid and serum. {ECO:0000269|PubMed:11137219}.; TISSUE SPECIFICITY: [Isoform 7]: Expressed in placenta, amniotic membrane, skin, cord blood and peripheral blood mononuclear cells. {ECO:0000269|PubMed:11137219}.	1YDP;2D31;2DYP;3BZE;3CDG;3CII;3KYN;3KYO;6AEE;6K60;	TRANSMEM 309..332; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:7584149}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11520457}. Early endosome membrane {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Soluble HLA class I histocompatibility antigen, alpha chain G]: Secreted {ECO:0000269|PubMed:23737137}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:11137219, ECO:0000269|PubMed:7558941, ECO:0000269|PubMed:7584149, ECO:0000269|PubMed:7989753}. Early endosome {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000269|PubMed:7989753}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000269|PubMed:11137219}.; SUBCELLULAR LOCATION: Cell projection, filopodium membrane {ECO:0000269|PubMed:26460007}. Note=HLA-G trogocytosis from extravillous trophoblast's filopodia occurs in the majority of decidual NK cells. {ECO:0000269|PubMed:26460007}.
